episode_index,curriculum_stage,curriculum_source,query_id,difficulty_bucket,profile_name,map_seed,query_seed,reward_total,reward_term_success,reward_term_terminal,reward_term_collision,reward_term_progress,reward_term_rs_progress,reward_term_clearance,reward_term_curvature,reward_term_path_length,reward_term_step,terminated,truncated,terminal_rs_success,collision,failure_reason,rollout_steps,rollout_collision_checks,rollout_length_m,min_clearance_m,mean_abs_curvature_delta,mean_abs_curvature_rate,nn_forward_time_s,rollout_sample_time_s,rollout_collision_time_s,terminal_rs_time_s
0,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.299901838491737,-0.07563403697711424,0.8862105636299183,2.9550021036444414,0.0,6.592e-06,3.4581e-05,0.0
1,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999568171780773,3.1638107254912238,0.5877733359127723,1.9595265126574037,0.0,5.641e-06,1.6476e-05,0.000104282
2,obstacle_bypass,procedural_single_side_obstacle,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999458348729602,-0.07563403697711424,0.6582890619964259,2.194693126094714,0.0,5.523e-06,3.1394e-05,0.0
3,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299985764845209,0.6268254473616461,0.3374653455960176,1.1249378642021493,0.0,6.6e-06,1.873e-05,0.000174492
4,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999953809731227,2.3638110115935187,0.1922300333062809,0.6407766435693997,0.0,6.123e-06,1.6494e-05,0.000111627
5,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173746,1.7638106301237921,0.8862105636299183,2.955002103644437,0.0,8.165e-06,1.9674e-05,0.000117407
6,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.2999714231566725,2.463810916226087,0.4781435767545991,1.5939637573572094,0.0,5.154e-06,1.558e-05,9.8845e-05
7,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0001,Extreme,extreme_d06,20460620,20461621,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,12,48,3.5994449644540096,-0.03618917318088011,0.9282485265853384,3.0946388760006234,0.0,8.2796e-05,0.00023483,0.001580557
8,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.29994790214488426,-0.07563403697711424,0.6456040242603956,2.1523871967224117,0.0,6.759e-06,3.0582e-05,0.0
9,heldout_procedural,main_evaluation_build_query_set,complex_s00_q0007,Complex,complex_d03,20360707,20361709,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,19,76,5.69868159987765,-0.07563403697711424,1.0247978860982494,3.4167832497054724,0.0,0.000134473,0.000353176,0.003928654
10,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29999761245498113,2.763810630123792,0.1382042175480809,0.4606843915093504,0.0,5.773e-06,1.7043e-05,0.000111155
11,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0004,Extreme,extreme_d06,20460620,20461624,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,1,4,0.2999971666967421,-0.13618916722041563,0.1505539447864775,0.5018512222772685,0.0,6.89e-06,2.3513e-05,0.0
12,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.299901838491737,0.8638108923842291,0.8862105636299183,2.9550021036444414,0.0,8.406e-06,2.0568e-05,0.000172572
13,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,complex_s00_q0006,Complex,complex_d02,20360621,20361622,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29990183849173696,0.14690601376789614,0.8862105636299183,2.955002103644442,0.0,5.751e-06,1.7971e-05,0.000206888
14,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0005,Extreme,extreme_d07,20460621,20461621,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,2,8,0.5998932969290218,-0.03618917318088011,1.0169135526907322,3.390314770631789,0.0,1.5135e-05,4.4556e-05,9.7505e-05
15,heldout_procedural,main_evaluation_build_query_set,extreme_s00_q0008,Extreme,extreme_d07,20460707,20461710,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,no_progress,30,120,8.998277944631623,0.3700365975310187,0.890900861162865,2.9702378609933144,0.0,0.000218276,0.000574549,0.008630989
16,rs_failure_node,0_trials/module2_oracle_shape/oracle_connector_results.parquet,extreme_s00_q0005,Extreme,extreme_d07,20460621,20461621,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,collision,2,8,0.5998801398003806,-0.11996141525012449,0.974129628586416,3.2477475547384276,0.0,1.2437e-05,4.3842e-05,0.00014636
17,open_connector,procedural_empty_grid,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,,1,4,0.29998139790600253,1.5638108208586554,0.3857713316946445,1.2859841789774036,0.0,8.808e-06,2.4735e-05,0.000147654
